model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
qwen3-4b,model.embed_tokens.weight,embedding,-1,4096x2560,10485760,0.0004829856916330755,8.043114956546027,0.03651511970800009,8.0065277065225,0.4539963356767737,8.617279180995174,0.06048524899846766,1.071385803578731,,,,,0.72
qwen3-4b,model.layers.0.mlp.down_proj.weight,mlp_down,0,2560x4096,10485760,0.0005418580258265138,0.06395926544598973,0.02461773485042781,0.03952798809525408,38.3778274215943,0.6669435009767133,0.0004615161823072947,10.427629153119533,,,,,0.42
qwen3-4b,model.layers.0.mlp.gate_proj.weight,mlp_gate,0,4096x2560,10485760,0.0005588236963376403,0.4940879231724815,0.03935207635492298,0.454697144987385,7.965213718585626,0.711143550311033,0.0035729249646164135,1.4393056720448911,,,,,0.47
qwen3-4b,model.layers.0.mlp.up_proj.weight,mlp_up,0,4096x2560,10485760,0.0004865947994403541,0.061695277365581,0.03868720793431771,0.022860931776346245,62.856827381274506,0.6484806930481923,0.0004451746935138929,10.51102646326656,,,,,0.3
qwen3-4b,model.layers.0.self_attn.k_proj.weight,attn_k,0,1024x2560,2621440,0.0006039768923074007,0.1309047859707202,0.03855448156460204,0.09235423136372854,29.451425120732573,4.153632725811452,0.0009448970204743236,31.730182323055057,,,,,0.17
qwen3-4b,model.layers.0.self_attn.o_proj.weight,attn_o,0,2560x4096,10485760,0.0004711599030997604,0.06721259112167921,0.02810774689199676,0.03912241627666768,41.80823839662731,1.5361679509126702,0.00048499936806827086,22.85535976632188,,,,,0.43
qwen3-4b,model.layers.0.self_attn.q_proj.weight,attn_q,0,4096x2560,10485760,0.000542128982488066,0.0635085607714636,0.03825014181889753,0.02528338426242564,60.20465756919771,3.529472297659486,0.00045826296190841563,55.57474858169655,,,,,0.42
qwen3-4b,model.layers.0.self_attn.v_proj.weight,attn_v,0,1024x2560,2621440,0.0005265383515506983,0.13594064024868846,0.040133307745546035,0.09587334271561797,29.508342135817756,0.5252670227209322,0.00098127156235001,3.8639440108566054,,,,,0.19
qwen3-4b,model.layers.1.mlp.down_proj.weight,mlp_down,1,2560x4096,10485760,0.00027254008455201983,0.06348507315894203,0.024181390720517938,0.03915843757868892,38.1772280882876,4.571036715218824,0.0004580934269485756,72.00175549573234,,,,,0.28
qwen3-4b,model.layers.1.mlp.gate_proj.weight,mlp_gate,1,4096x2560,10485760,0.000520767061971128,3.943717858296514,0.039535452858683526,3.9042330225300694,1.00247905285024,4.18536608192559,0.029024062370714525,1.0612742169475218,,,,,0.31
