model,tensor_name,layer_type,layer_index,shape,n_params,var_total,rho2_pct,var_row_pct,var_col_pct,row_dominance,svd_r1_pct,compression_gain_bpp,svd_to_cw_ratio,rho2_hadamard_pct,hadamard_ratio,rho2_actweight_pct,actweight_change_pct,time_sec
qwen3-0.6b,lm_head.weight,other,-1,4096x1024,4194304,0.0008534893859177828,10.622140218986287,0.08526803351045119,10.536888123143436,0.8027375257238893,11.367740769696733,0.08100529807054066,1.0701930623527018,,,,,0.33
qwen3-0.6b,model.embed_tokens.weight,embedding,-1,4096x1024,4194304,0.0008531181956641376,10.501458776639028,0.09021457840063893,10.411315072760754,0.8590613119933613,11.265157147209493,0.08003196372436508,1.0727230746521947,,,,,0.18
qwen3-0.6b,model.layers.0.mlp.down_proj.weight,mlp_down,0,1024x3072,3145728,0.0006885447073727846,0.12903762481498715,0.03206425440703665,0.09698662269166872,24.846211918817186,0.8060031191323924,0.0009314107715339976,6.246264376673327,,,,,0.17
qwen3-0.6b,model.layers.0.mlp.gate_proj.weight,mlp_gate,0,3072x1024,3145728,0.0013416999718174338,1.0429223482802508,0.09600037240680462,0.9469268310988654,9.204896764041758,1.4851549295000432,0.007562599426921093,1.424032126599858,,,,,0.21
qwen3-0.6b,model.layers.0.mlp.up_proj.weight,mlp_up,0,3072x1024,3145728,0.0006684777326881886,0.1304034356289785,0.09868679556370577,0.03178127450343336,75.64057283358399,0.36689213087733874,0.0009412758109562115,2.813515833441794,,,,,0.21
qwen3-0.6b,model.layers.0.self_attn.k_proj.weight,attn_k,0,1024x1024,1048576,0.0009383627329953015,0.18059730850832345,0.08884707228425262,0.09174946083547873,49.19644400114206,6.682247761283522,0.0013039119765987654,37.00081588411683,,,,,0.1
qwen3-0.6b,model.layers.0.self_attn.o_proj.weight,attn_o,0,1024x2048,2097152,0.0006659215432591736,0.1515325671335388,0.053244256519851284,0.09832425593475604,35.12883755179507,0.8286768509697451,0.001093905436657311,5.4686386342248765,,,,,0.12
qwen3-0.6b,model.layers.0.self_attn.q_proj.weight,attn_q,0,2048x1024,2097152,0.0009822745341807604,0.13525054416655413,0.09172814308407151,0.04354225889056481,67.81094884398352,4.70098515268651,0.0009762868122714185,34.75760620155056,,,,,0.12
qwen3-0.6b,model.layers.0.self_attn.v_proj.weight,attn_v,0,1024x1024,1048576,0.0007090978906489909,0.19684443108799465,0.10084021239241175,0.09600671978138366,51.22772871226681,0.49731493578332175,0.0014213317884197588,2.5264363997222197,,,,,0.12
qwen3-0.6b,model.layers.1.mlp.down_proj.weight,mlp_down,1,1024x3072,3145728,0.0005179623258300126,0.12745932612426847,0.031492641929245294,0.09593065239393607,24.714980174167437,0.8776116284237689,0.000920011133200629,6.885424983089332,,,,,0.16
